商品防伪码,有效日期,产品类型,保留字段1,保留字段2
VngwDePSQWAC,2020-12-31,产品名称,备注A,备注B
Wv8MVcFqnkxU,2020-12-31,产品名称,备注A,备注B
6ZwbZkYZdzuP,2020-12-31,产品名称,备注A,备注B
yZqeRDI2hR9p,2020-12-31,产品名称,备注A,备注B
iblnCfRtD2XC,2020-12-31,产品名称,备注A,备注B
mPBtNlmtagIg,2020-12-31,产品名称,备注A,备注B
SFtfLrJQzejM,2020-12-31,产品名称,备注A,备注B
kwKBhDXVhmtT,2020-12-31,产品名称,备注A,备注B
YKDZrBnCrE5E,2020-12-31,产品名称,备注A,备注B
qiIHQR8LW7bf,2020-12-31,产品名称,备注A,备注B
T8k8hw8sEDUK,2020-12-31,产品名称,备注A,备注B
PpafmmDkZTIu,2020-12-31,产品名称,备注A,备注B
DVQ9mblTTf8R,2020-12-31,产品名称,备注A,备注B
ShDrgG2l3h9K,2020-12-31,产品名称,备注A,备注B
f6FGTkPA4ax4,2020-12-31,产品名称,备注A,备注B
YvZwPcUj7ra4,2020-12-31,产品名称,备注A,备注B
ZYNSk9KBYrlr,2020-12-31,产品名称,备注A,备注B
K2sQAjrsAH5P,2020-12-31,产品名称,备注A,备注B
3xBTvDNkkWMH,2020-12-31,产品名称,备注A,备注B
rrdpEjMamm6j,2020-12-31,产品名称,备注A,备注B
xxgiTLSEk68r,2020-12-31,产品名称,备注A,备注B
WtLHHwYtuEg8,2020-12-31,产品名称,备注A,备注B
rPR8WjcY2KIM,2020-12-31,产品名称,备注A,备注B
Mjse9kbR3i6Z,2020-12-31,产品名称,备注A,备注B
Ypwb3Pu2vGcq,2020-12-31,产品名称,备注A,备注B
E3nUlPQxtrly,2020-12-31,产品名称,备注A,备注B
cEP4m2Z62Iic,2020-12-31,产品名称,备注A,备注B
IueIFzUZ8Y9t,2020-12-31,产品名称,备注A,备注B
TJhtuXJU6pzg,2020-12-31,产品名称,备注A,备注B
jwX9def2KGut,2020-12-31,产品名称,备注A,备注B
wQD2uWYgHYnd,2020-12-31,产品名称,备注A,备注B
eiKPdivEPPbL,2020-12-31,产品名称,备注A,备注B
szCyZlXHuAEW,2020-12-31,产品名称,备注A,备注B
xu8697lBUsgK,2020-12-31,产品名称,备注A,备注B
tUwsm5KDixxl,2020-12-31,产品名称,备注A,备注B
cSJpfxDI3at6,2020-12-31,产品名称,备注A,备注B
mDmPdQ3VFDwD,2020-12-31,产品名称,备注A,备注B
MdBVPwaWlgRf,2020-12-31,产品名称,备注A,备注B
EPMPAM9itDNx,2020-12-31,产品名称,备注A,备注B
kKU8HGdvN5tr,2020-12-31,产品名称,备注A,备注B
y8rTnBFSXAbc,2020-12-31,产品名称,备注A,备注B
9kQKYQfBuiN5,2020-12-31,产品名称,备注A,备注B
VS22aMTmd2hr,2020-12-31,产品名称,备注A,备注B
yQLJxiBfxXDL,2020-12-31,产品名称,备注A,备注B
x4f7WKCzYySu,2020-12-31,产品名称,备注A,备注B
NQC5FmTiU4Vs,2020-12-31,产品名称,备注A,备注B
yyagIDjeBPba,2020-12-31,产品名称,备注A,备注B
AE6JDxLmZHrQ,2020-12-31,产品名称,备注A,备注B
g54IMMJMCWr6,2020-12-31,产品名称,备注A,备注B
ivWUebHltDTy,2020-12-31,产品名称,备注A,备注B
